Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Average stay;National Total;09 Cataluña;Residents in Spain;2018M04;2,9
Average stay;National Total;09 Cataluña;Residents in Spain;2018M03;3
Average stay;National Total;09 Cataluña;Residents in Spain;2018M02;2,9
Average stay;National Total;09 Cataluña;Residents in Spain;2018M01;3,1
Average stay;National Total;09 Cataluña;Residents abroad;2024M09;""
Average stay;National Total;09 Cataluña;Residents abroad;2024M08;""
Average stay;National Total;09 Cataluña;Residents abroad;2024M07;""
Average stay;National Total;09 Cataluña;Residents abroad;2024M06;4,9
Average stay;National Total;09 Cataluña;Residents abroad;2024M05;4,5
Average stay;National Total;09 Cataluña;Residents abroad;2024M04;4,6
Average stay;National Total;09 Cataluña;Residents abroad;2024M03;4,8
Average stay;National Total;09 Cataluña;Residents abroad;2024M02;4,9
Average stay;National Total;09 Cataluña;Residents abroad;2024M01;5,3
Average stay;National Total;09 Cataluña;Residents abroad;2023M12;4,9
Average stay;National Total;09 Cataluña;Residents abroad;2023M11;4,9
Average stay;National Total;09 Cataluña;Residents abroad;2023M10;4,8
Average stay;National Total;09 Cataluña;Residents abroad;2023M09;5,1
Average stay;National Total;09 Cataluña;Residents abroad;2023M08;5,9
Average stay;National Total;09 Cataluña;Residents abroad;2023M07;5,6
Average stay;National Total;09 Cataluña;Residents abroad;2023M06;5
Average stay;National Total;09 Cataluña;Residents abroad;2023M05;4,5
Average stay;National Total;09 Cataluña;Residents abroad;2023M04;4,6
Average stay;National Total;09 Cataluña;Residents abroad;2023M03;4,9
Average stay;National Total;09 Cataluña;Residents abroad;2023M02;5
Average stay;National Total;09 Cataluña;Residents abroad;2023M01;5,6
Average stay;National Total;09 Cataluña;Residents abroad;2022M12;5,1
Average stay;National Total;09 Cataluña;Residents abroad;2022M11;5,2
Average stay;National Total;09 Cataluña;Residents abroad;2022M10;5
Average stay;National Total;09 Cataluña;Residents abroad;2022M09;5,3
Average stay;National Total;09 Cataluña;Residents abroad;2022M08;6,1
Average stay;National Total;09 Cataluña;Residents abroad;2022M07;5,9
Average stay;National Total;09 Cataluña;Residents abroad;2022M06;5,2
Average stay;National Total;09 Cataluña;Residents abroad;2022M05;4,7
Average stay;National Total;09 Cataluña;Residents abroad;2022M04;5
Average stay;National Total;09 Cataluña;Residents abroad;2022M03;5,5
Average stay;National Total;09 Cataluña;Residents abroad;2022M02;5,5
Average stay;National Total;09 Cataluña;Residents abroad;2022M01;6,6
Average stay;National Total;09 Cataluña;Residents abroad;2021M12;5,4
Average stay;National Total;09 Cataluña;Residents abroad;2021M11;5,5
Average stay;National Total;09 Cataluña;Residents abroad;2021M10;5,3
Average stay;National Total;09 Cataluña;Residents abroad;2021M09;5,9
Average stay;National Total;09 Cataluña;Residents abroad;2021M08;6,4
Average stay;National Total;09 Cataluña;Residents abroad;2021M07;6,2
Average stay;National Total;09 Cataluña;Residents abroad;2021M06;5,8
Average stay;National Total;09 Cataluña;Residents abroad;2021M05;6,1
Average stay;National Total;09 Cataluña;Residents abroad;2021M04;7,9
Average stay;National Total;09 Cataluña;Residents abroad;2021M03;8,8
Average stay;National Total;09 Cataluña;Residents abroad;2021M02;10,5
Average stay;National Total;09 Cataluña;Residents abroad;2021M01;10,8
Average stay;National Total;09 Cataluña;Residents abroad;2020M12;8,2
Average stay;National Total;09 Cataluña;Residents abroad;2020M11;13,3
Average stay;National Total;09 Cataluña;Residents abroad;2020M10;7,6
Average stay;National Total;09 Cataluña;Residents abroad;2020M09;6,9
Average stay;National Total;09 Cataluña;Residents abroad;2020M08;6,8
Average stay;National Total;09 Cataluña;Residents abroad;2020M07;6,3
Average stay;National Total;09 Cataluña;Residents abroad;2020M06;6,4
Average stay;National Total;09 Cataluña;Residents abroad;2020M05;10
Average stay;National Total;09 Cataluña;Residents abroad;2020M04;22
Average stay;National Total;09 Cataluña;Residents abroad;2020M03;5,6
Average stay;National Total;09 Cataluña;Residents abroad;2020M02;4,5
Average stay;National Total;09 Cataluña;Residents abroad;2020M01;4,8
Average stay;National Total;09 Cataluña;Residents abroad;2019M12;4,3
Average stay;National Total;09 Cataluña;Residents abroad;2019M11;4,3
Average stay;National Total;09 Cataluña;Residents abroad;2019M10;4,3
Average stay;National Total;09 Cataluña;Residents abroad;2019M09;4,6
Average stay;National Total;09 Cataluña;Residents abroad;2019M08;5,5
Average stay;National Total;09 Cataluña;Residents abroad;2019M07;5,3
Average stay;National Total;09 Cataluña;Residents abroad;2019M06;4,6
Average stay;National Total;09 Cataluña;Residents abroad;2019M05;4
Average stay;National Total;09 Cataluña;Residents abroad;2019M04;4,2
Average stay;National Total;09 Cataluña;Residents abroad;2019M03;4,2
Average stay;National Total;09 Cataluña;Residents abroad;2019M02;4,4
Average stay;National Total;09 Cataluña;Residents abroad;2019M01;4
Average stay;National Total;09 Cataluña;Residents abroad;2018M12;4,3
Average stay;National Total;09 Cataluña;Residents abroad;2018M11;4,4
Average stay;National Total;09 Cataluña;Residents abroad;2018M10;4,2
Average stay;National Total;09 Cataluña;Residents abroad;2018M09;4,6
Average stay;National Total;09 Cataluña;Residents abroad;2018M08;5,5
Average stay;National Total;09 Cataluña;Residents abroad;2018M07;5,3
Average stay;National Total;09 Cataluña;Residents abroad;2018M06;4,6
Average stay;National Total;09 Cataluña;Residents abroad;2018M05;4,1
Average stay;National Total;09 Cataluña;Residents abroad;2018M04;4,1
Average stay;National Total;09 Cataluña;Residents abroad;2018M03;4,2
Average stay;National Total;09 Cataluña;Residents abroad;2018M02;4,3
Average stay;National Total;09 Cataluña;Residents abroad;2018M01;4
Average stay;National Total;10 Comunitat Valenciana;Total;2024M09;""
Average stay;National Total;10 Comunitat Valenciana;Total;2024M08;""
Average stay;National Total;10 Comunitat Valenciana;Total;2024M07;""
Average stay;National Total;10 Comunitat Valenciana;Total;2024M06;4,9
Average stay;National Total;10 Comunitat Valenciana;Total;2024M05;4,6
Average stay;National Total;10 Comunitat Valenciana;Total;2024M04;4,8
Average stay;National Total;10 Comunitat Valenciana;Total;2024M03;4,6
Average stay;National Total;10 Comunitat Valenciana;Total;2024M02;5,2
Average stay;National Total;10 Comunitat Valenciana;Total;2024M01;5,9
Average stay;National Total;10 Comunitat Valenciana;Total;2023M12;4,9
Average stay;National Total;10 Comunitat Valenciana;Total;2023M11;4,9
Average stay;National Total;10 Comunitat Valenciana;Total;2023M10;5,2
Average stay;National Total;10 Comunitat Valenciana;Total;2023M09;5,2
Average stay;National Total;10 Comunitat Valenciana;Total;2023M08;5,8
Average stay;National Total;10 Comunitat Valenciana;Total;2023M07;5,6
Average stay;National Total;10 Comunitat Valenciana;Total;2023M06;4,8
Average stay;National Total;10 Comunitat Valenciana;Total;2023M05;4,9
Average stay;National Total;10 Comunitat Valenciana;Total;2023M04;4,5
Average stay;National Total;10 Comunitat Valenciana;Total;2023M03;4,8
Average stay;National Total;10 Comunitat Valenciana;Total;2023M02;5,5
Average stay;National Total;10 Comunitat Valenciana;Total;2023M01;6
Average stay;National Total;10 Comunitat Valenciana;Total;2022M12;5
Average stay;National Total;10 Comunitat Valenciana;Total;2022M11;5,3
Average stay;National Total;10 Comunitat Valenciana;Total;2022M10;5,4
Average stay;National Total;10 Comunitat Valenciana;Total;2022M09;5,5
Average stay;National Total;10 Comunitat Valenciana;Total;2022M08;6,1
Average stay;National Total;10 Comunitat Valenciana;Total;2022M07;5,8
Average stay;National Total;10 Comunitat Valenciana;Total;2022M06;5,1
Average stay;National Total;10 Comunitat Valenciana;Total;2022M05;5
Average stay;National Total;10 Comunitat Valenciana;Total;2022M04;4,9
Average stay;National Total;10 Comunitat Valenciana;Total;2022M03;5,4
Average stay;National Total;10 Comunitat Valenciana;Total;2022M02;5,3
Average stay;National Total;10 Comunitat Valenciana;Total;2022M01;5,9
Average stay;National Total;10 Comunitat Valenciana;Total;2021M12;4,7
Average stay;National Total;10 Comunitat Valenciana;Total;2021M11;5,1
Average stay;National Total;10 Comunitat Valenciana;Total;2021M10;5,1
Average stay;National Total;10 Comunitat Valenciana;Total;2021M09;5,3
Average stay;National Total;10 Comunitat Valenciana;Total;2021M08;6
Average stay;National Total;10 Comunitat Valenciana;Total;2021M07;5,6
Average stay;National Total;10 Comunitat Valenciana;Total;2021M06;4,6
Average stay;National Total;10 Comunitat Valenciana;Total;2021M05;4,1
Average stay;National Total;10 Comunitat Valenciana;Total;2021M04;4
Average stay;National Total;10 Comunitat Valenciana;Total;2021M03;4,1
Average stay;National Total;10 Comunitat Valenciana;Total;2021M02;5,3
Average stay;National Total;10 Comunitat Valenciana;Total;2021M01;5,3
Average stay;National Total;10 Comunitat Valenciana;Total;2020M12;4,4
Average stay;National Total;10 Comunitat Valenciana;Total;2020M11;6
Average stay;National Total;10 Comunitat Valenciana;Total;2020M10;4,5
Average stay;National Total;10 Comunitat Valenciana;Total;2020M09;4,7
Average stay;National Total;10 Comunitat Valenciana;Total;2020M08;5,7
Average stay;National Total;10 Comunitat Valenciana;Total;2020M07;5,2
Average stay;National Total;10 Comunitat Valenciana;Total;2020M06;3,9
Average stay;National Total;10 Comunitat Valenciana;Total;2020M05;5,3
Average stay;National Total;10 Comunitat Valenciana;Total;2020M04;9
Average stay;National Total;10 Comunitat Valenciana;Total;2020M03;5,8
Average stay;National Total;10 Comunitat Valenciana;Total;2020M02;4,7
Average stay;National Total;10 Comunitat Valenciana;Total;2020M01;5,1
Average stay;National Total;10 Comunitat Valenciana;Total;2019M12;4,5
Average stay;National Total;10 Comunitat Valenciana;Total;2019M11;4,2
Average stay;National Total;10 Comunitat Valenciana;Total;2019M10;4,7
Average stay;National Total;10 Comunitat Valenciana;Total;2019M09;5,3
Average stay;National Total;10 Comunitat Valenciana;Total;2019M08;6
Average stay;National Total;10 Comunitat Valenciana;Total;2019M07;5,8
Average stay;National Total;10 Comunitat Valenciana;Total;2019M06;4,9
Average stay;National Total;10 Comunitat Valenciana;Total;2019M05;4,3
Average stay;National Total;10 Comunitat Valenciana;Total;2019M04;4,3
Average stay;National Total;10 Comunitat Valenciana;Total;2019M03;4,2
Average stay;National Total;10 Comunitat Valenciana;Total;2019M02;4,6
Average stay;National Total;10 Comunitat Valenciana;Total;2019M01;4,5
Average stay;National Total;10 Comunitat Valenciana;Total;2018M12;4,5
Average stay;National Total;10 Comunitat Valenciana;Total;2018M11;4,2
Average stay;National Total;10 Comunitat Valenciana;Total;2018M10;4,8
Average stay;National Total;10 Comunitat Valenciana;Total;2018M09;5,2
Average stay;National Total;10 Comunitat Valenciana;Total;2018M08;6
Average stay;National Total;10 Comunitat Valenciana;Total;2018M07;5,8
Average stay;National Total;10 Comunitat Valenciana;Total;2018M06;4,9
Average stay;National Total;10 Comunitat Valenciana;Total;2018M05;4,5
Average stay;National Total;10 Comunitat Valenciana;Total;2018M04;4,4
Average stay;National Total;10 Comunitat Valenciana;Total;2018M03;4,1
Average stay;National Total;10 Comunitat Valenciana;Total;2018M02;4,6
Average stay;National Total;10 Comunitat Valenciana;Total;2018M01;4,6
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2024M09;""
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2024M08;""
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2024M07;""
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2024M06;3,8
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2024M05;3,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2024M04;3,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2024M03;3,3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2024M02;3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2024M01;3,3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2023M12;3,3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2023M11;3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2023M10;3,3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2023M09;4
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2023M08;5,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2023M07;4,7
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2023M06;3,7
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2023M05;3,2
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2023M04;3,3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2023M03;3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2023M02;3,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2023M01;3,5
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2022M12;3,4
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2022M11;3,2
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2022M10;3,4
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2022M09;4,2
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2022M08;5,4
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2022M07;5
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2022M06;3,9
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2022M05;3,3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2022M04;3,6
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2022M03;3,3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2022M02;3,2
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2022M01;3,6
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2021M12;3,3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2021M11;3,3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2021M10;3,3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2021M09;4,2
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2021M08;5,5
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2021M07;5
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2021M06;4
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2021M05;3,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2021M04;3,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2021M03;3,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2021M02;3,4
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2021M01;3,7
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2020M12;3,2
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2020M11;3,9
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2020M10;3,3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2020M09;4,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2020M08;5,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2020M07;4,6
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2020M06;3,6
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2020M05;3,7
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2020M04;..
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2020M03;3,9
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2020M02;2,8
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2020M01;3,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2019M12;3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2019M11;2,8
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2019M10;2,9
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2019M09;4
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2019M08;5,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2019M07;4,7
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2019M06;3,6
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2019M05;3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2019M04;3,4
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2019M03;2,7
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2019M02;2,7
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2019M01;2,8
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2018M12;3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2018M11;2,7
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2018M10;3
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2018M09;4
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2018M08;5
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2018M07;4,6
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2018M06;3,5
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2018M05;3,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2018M04;3,2
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2018M03;3,1
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2018M02;2,9
Average stay;National Total;10 Comunitat Valenciana;Residents in Spain;2018M01;2,8
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2024M09;""
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2024M08;""
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2024M07;""
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2024M06;6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2024M05;5,5
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2024M04;5,6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2024M03;5,8
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2024M02;6,5
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2024M01;7,3
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2023M12;6,3
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2023M11;6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2023M10;6,1
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2023M09;6,2
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2023M08;6,9
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2023M07;6,6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2023M06;6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2023M05;5,9
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2023M04;5,6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2023M03;6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2023M02;7,1
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2023M01;7,8
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2022M12;6,8
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2022M11;6,6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2022M10;6,4
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2022M09;6,4
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2022M08;7,2
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2022M07;7,1
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2022M06;6,3
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2022M05;6,3
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2022M04;6,2
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2022M03;6,7
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2022M02;7,1
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2022M01;7,9
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2021M12;6,6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2021M11;6,3
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2021M10;6,5
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2021M09;6,4
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2021M08;7,3
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2021M07;7,1
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2021M06;6,4
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2021M05;6,8
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2021M04;7,8
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2021M03;7,8
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2021M02;12
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2021M01;9,3
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2020M12;10
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2020M11;11
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2020M10;8
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2020M09;7,1
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2020M08;8
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2020M07;7,3
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2020M06;8
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2020M05;11
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2020M04;..
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2020M03;7,3
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2020M02;6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2020M01;6,4
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2019M12;5,8
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2019M11;5,1
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2019M10;5,5
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2019M09;5,9
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2019M08;7
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2019M07;6,9
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2019M06;6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2019M05;5,1
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2019M04;5,1
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2019M03;5,3
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2019M02;5,6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2019M01;5,4
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2018M12;5,9
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2018M11;5
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2018M10;5,6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2018M09;6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2018M08;7,1
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2018M07;6,9
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2018M06;6
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2018M05;5,3
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2018M04;5,2
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2018M03;5,1
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2018M02;5,8
Average stay;National Total;10 Comunitat Valenciana;Residents abroad;2018M01;5,5
Average stay;National Total;11 Extremadura;Total;2024M09;""
Average stay;National Total;11 Extremadura;Total;2024M08;""
Average stay;National Total;11 Extremadura;Total;2024M07;""
Average stay;National Total;11 Extremadura;Total;2024M06;2,1
Average stay;National Total;11 Extremadura;Total;2024M05;2,4
Average stay;National Total;11 Extremadura;Total;2024M04;2,4
Average stay;National Total;11 Extremadura;Total;2024M03;2,5
Average stay;National Total;11 Extremadura;Total;2024M02;2,3
Average stay;National Total;11 Extremadura;Total;2024M01;2,2
Average stay;National Total;11 Extremadura;Total;2023M12;2,5
Average stay;National Total;11 Extremadura;Total;2023M11;2,3
Average stay;National Total;11 Extremadura;Total;2023M10;2,5
Average stay;National Total;11 Extremadura;Total;2023M09;2,2
Average stay;National Total;11 Extremadura;Total;2023M08;2,5
Average stay;National Total;11 Extremadura;Total;2023M07;2,1
Average stay;National Total;11 Extremadura;Total;2023M06;2,3
Average stay;National Total;11 Extremadura;Total;2023M05;2,4
Average stay;National Total;11 Extremadura;Total;2023M04;2,5
Average stay;National Total;11 Extremadura;Total;2023M03;2,4
Average stay;National Total;11 Extremadura;Total;2023M02;2,3
Average stay;National Total;11 Extremadura;Total;2023M01;2,2
Average stay;National Total;11 Extremadura;Total;2022M12;2,7
Average stay;National Total;11 Extremadura;Total;2022M11;2
Average stay;National Total;11 Extremadura;Total;2022M10;2,3
Average stay;National Total;11 Extremadura;Total;2022M09;2,3
Average stay;National Total;11 Extremadura;Total;2022M08;2,7
Average stay;National Total;11 Extremadura;Total;2022M07;2,2
Average stay;National Total;11 Extremadura;Total;2022M06;2,1
Average stay;National Total;11 Extremadura;Total;2022M05;2,5
Average stay;National Total;11 Extremadura;Total;2022M04;2,7
Average stay;National Total;11 Extremadura;Total;2022M03;2,6
Average stay;National Total;11 Extremadura;Total;2022M02;2,2
Average stay;National Total;11 Extremadura;Total;2022M01;2,3
Average stay;National Total;11 Extremadura;Total;2021M12;2,4
Average stay;National Total;11 Extremadura;Total;2021M11;2,5
Average stay;National Total;11 Extremadura;Total;2021M10;2,3
Average stay;National Total;11 Extremadura;Total;2021M09;2,2
Average stay;National Total;11 Extremadura;Total;2021M08;2,4
Average stay;National Total;11 Extremadura;Total;2021M07;2,1
Average stay;National Total;11 Extremadura;Total;2021M06;2,3
Average stay;National Total;11 Extremadura;Total;2021M05;2
Average stay;National Total;11 Extremadura;Total;2021M04;2
Average stay;National Total;11 Extremadura;Total;2021M03;2,7
Average stay;National Total;11 Extremadura;Total;2021M02;2
Average stay;National Total;11 Extremadura;Total;2021M01;..
Average stay;National Total;11 Extremadura;Total;2020M12;2,5
Average stay;National Total;11 Extremadura;Total;2020M11;2
Average stay;National Total;11 Extremadura;Total;2020M10;2,3
Average stay;National Total;11 Extremadura;Total;2020M09;2
Average stay;National Total;11 Extremadura;Total;2020M08;2,7
Average stay;National Total;11 Extremadura;Total;2020M07;2,8
Average stay;National Total;11 Extremadura;Total;2020M06;3
Average stay;National Total;11 Extremadura;Total;2020M05;..
Average stay;National Total;11 Extremadura;Total;2020M04;..
Average stay;National Total;11 Extremadura;Total;2020M03;1,5
Average stay;National Total;11 Extremadura;Total;2020M02;2
Average stay;National Total;11 Extremadura;Total;2020M01;2,3
Average stay;National Total;11 Extremadura;Total;2019M12;2,2
Average stay;National Total;11 Extremadura;Total;2019M11;2,3
Average stay;National Total;11 Extremadura;Total;2019M10;2,2
Average stay;National Total;11 Extremadura;Total;2019M09;2,2
Average stay;National Total;11 Extremadura;Total;2019M08;2,4
Average stay;National Total;11 Extremadura;Total;2019M07;2
Average stay;National Total;11 Extremadura;Total;2019M06;1,8
Average stay;National Total;11 Extremadura;Total;2019M05;2
Average stay;National Total;11 Extremadura;Total;2019M04;2,2
Average stay;National Total;11 Extremadura;Total;2019M03;2,3
Average stay;National Total;11 Extremadura;Total;2019M02;2
Average stay;National Total;11 Extremadura;Total;2019M01;2
Average stay;National Total;11 Extremadura;Total;2018M12;2,7
Average stay;National Total;11 Extremadura;Total;2018M11;2,3
Average stay;National Total;11 Extremadura;Total;2018M10;2,3
Average stay;National Total;11 Extremadura;Total;2018M09;2
Average stay;National Total;11 Extremadura;Total;2018M08;2,1
Average stay;National Total;11 Extremadura;Total;2018M07;2,2
Average stay;National Total;11 Extremadura;Total;2018M06;1,8
Average stay;National Total;11 Extremadura;Total;2018M05;2
Average stay;National Total;11 Extremadura;Total;2018M04;2,2
Average stay;National Total;11 Extremadura;Total;2018M03;2,3
Average stay;National Total;11 Extremadura;Total;2018M02;1,7
