Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of stays;National Total;;Residents abroad;2018M11;249.000
Number of stays;National Total;;Residents abroad;2018M10;400.000
Number of stays;National Total;;Residents abroad;2018M09;446.000
Number of stays;National Total;;Residents abroad;2018M08;494.000
Number of stays;National Total;;Residents abroad;2018M07;477.000
Number of stays;National Total;;Residents abroad;2018M06;400.000
Number of stays;National Total;;Residents abroad;2018M05;402.000
Number of stays;National Total;;Residents abroad;2018M04;346.000
Number of stays;National Total;;Residents abroad;2018M03;271.000
Number of stays;National Total;;Residents abroad;2018M02;219.000
Number of stays;National Total;;Residents abroad;2018M01;209.000
Number of stays;National Total;01 Andalucía;Total;2024M09;""
Number of stays;National Total;01 Andalucía;Total;2024M08;""
Number of stays;National Total;01 Andalucía;Total;2024M07;""
Number of stays;National Total;01 Andalucía;Total;2024M06;312.955
Number of stays;National Total;01 Andalucía;Total;2024M05;335.388
Number of stays;National Total;01 Andalucía;Total;2024M04;292.506
Number of stays;National Total;01 Andalucía;Total;2024M03;249.253
Number of stays;National Total;01 Andalucía;Total;2024M02;210.660
Number of stays;National Total;01 Andalucía;Total;2024M01;165.555
Number of stays;National Total;01 Andalucía;Total;2023M12;209.000
Number of stays;National Total;01 Andalucía;Total;2023M11;181.000
Number of stays;National Total;01 Andalucía;Total;2023M10;263.000
Number of stays;National Total;01 Andalucía;Total;2023M09;286.000
Number of stays;National Total;01 Andalucía;Total;2023M08;337.000
Number of stays;National Total;01 Andalucía;Total;2023M07;290.000
Number of stays;National Total;01 Andalucía;Total;2023M06;254.000
Number of stays;National Total;01 Andalucía;Total;2023M05;244.000
Number of stays;National Total;01 Andalucía;Total;2023M04;270.000
Number of stays;National Total;01 Andalucía;Total;2023M03;179.000
Number of stays;National Total;01 Andalucía;Total;2023M02;156.000
Number of stays;National Total;01 Andalucía;Total;2023M01;130.000
Number of stays;National Total;01 Andalucía;Total;2022M12;156.000
Number of stays;National Total;01 Andalucía;Total;2022M11;134.000
Number of stays;National Total;01 Andalucía;Total;2022M10;197.000
Number of stays;National Total;01 Andalucía;Total;2022M09;229.000
Number of stays;National Total;01 Andalucía;Total;2022M08;282.000
Number of stays;National Total;01 Andalucía;Total;2022M07;250.000
Number of stays;National Total;01 Andalucía;Total;2022M06;217.000
Number of stays;National Total;01 Andalucía;Total;2022M05;203.000
Number of stays;National Total;01 Andalucía;Total;2022M04;203.000
Number of stays;National Total;01 Andalucía;Total;2022M03;132.000
Number of stays;National Total;01 Andalucía;Total;2022M02;126.000
Number of stays;National Total;01 Andalucía;Total;2022M01;93.000
Number of stays;National Total;01 Andalucía;Total;2021M12;124.000
Number of stays;National Total;01 Andalucía;Total;2021M11;108.000
Number of stays;National Total;01 Andalucía;Total;2021M10;159.000
Number of stays;National Total;01 Andalucía;Total;2021M09;165.000
Number of stays;National Total;01 Andalucía;Total;2021M08;230.000
Number of stays;National Total;01 Andalucía;Total;2021M07;191.000
Number of stays;National Total;01 Andalucía;Total;2021M06;123.000
Number of stays;National Total;01 Andalucía;Total;2021M05;83.000
Number of stays;National Total;01 Andalucía;Total;2021M04;38.000
Number of stays;National Total;01 Andalucía;Total;2021M03;33.000
Number of stays;National Total;01 Andalucía;Total;2021M02;21.000
Number of stays;National Total;01 Andalucía;Total;2021M01;26.000
Number of stays;National Total;01 Andalucía;Total;2020M12;31.000
Number of stays;National Total;01 Andalucía;Total;2020M11;16.000
Number of stays;National Total;01 Andalucía;Total;2020M10;61.000
Number of stays;National Total;01 Andalucía;Total;2020M09;77.000
Number of stays;National Total;01 Andalucía;Total;2020M08;161.000
Number of stays;National Total;01 Andalucía;Total;2020M07;121.000
Number of stays;National Total;01 Andalucía;Total;2020M06;40.000
Number of stays;National Total;01 Andalucía;Total;2020M05;8.000
Number of stays;National Total;01 Andalucía;Total;2020M04;4.000
Number of stays;National Total;01 Andalucía;Total;2020M03;55.000
Number of stays;National Total;01 Andalucía;Total;2020M02;145.000
Number of stays;National Total;01 Andalucía;Total;2020M01;117.000
Number of stays;National Total;01 Andalucía;Total;2019M12;143.000
Number of stays;National Total;01 Andalucía;Total;2019M11;125.000
Number of stays;National Total;01 Andalucía;Total;2019M10;187.000
